codigo;AplicaSN;CST00;CST02;CST10;CST15;CST20;CST30;CST40;CST41;CST50;CST51;CST53;CST60;CST61;CST70;CST90;Dispositivo;descricao;Observacao
SP054022;SIM;;;;;;;;;;SIM;;;;;;Artigo 400-Z1 do RICMS;Diferimento - Saida interna de negros-de-carbono (NCM 2803.00.19) e oleos combustiveis (NCM 2710.19.22) obtidos por meio da reciclagem de pneus e de residuos de borracha, promovida pelo estabelecimento reciclador, com destino a estabelecimento industrial;
SP054025;SIM;;;;;;;;;;SIM;;;;;;Artigo 400-Z2 do RICMS;Diferimento - saida interna de resina de polipropileno, classificada no codigo 3902.10.20 da Nomenclatura Comum do Mercosul - NCM;
SP054026;SIM;;;;;;;;;;SIM;;;;;;Artigo 400-Z3 do RICMS;Diferimento - Desembaraco aduaneiro e saida interna de insumos, materias-primas, produtos intermediarios e embalagens com destino a estabelecimento fabricante de maquinas e equipamentos para integracao ao ativo imobilizado de fabricantes de celulose e de ;
SP054027;SIM;;;;;;;;;;SIM;;;;;;Artigo 400-Z4 do RICMS;Diferimento - saida interna de cimento asfaltico de petroleo, classificado no codigo 2713.20.00 da Nomenclatura Comum do Mercosul - NCM, destinado a estabelecimento fabricante de cimento asfaltico de petroleo;
SP054028;SIM;;;;;;;;;;SIM;;;;;;Artigo 400-Z5 do RICMS;Diferimento - Saida interna de residuo de oleo, classificado no codigo 2710.99.00 da Nomenclatura Comum do Mercosul - NCM, obtido por meio da reciclagem do material oleoso retirado de embarcacoes, promovida pelo estabelecimento reciclador;
SP054020;SIM;;;;;;;;;SIM;SIM;;;;;;Artigo 402 do RICMS e Portaria CAT 22/2007;Suspensao ou diferimento - Saida de mercadoria com destino a outro estabelecimento ou a trabalhador autonomo ou avulso que prestar servico pessoal, num e noutro caso, para industrializacao por encomenda;
SP054110;SIM;;;;;;;;;;SIM;SIM;;;;;Artigo 411 do RICMS;Diferimento - Operacoes com petroleo bruto, desde a importacao ou extracao, desde que o contribuinte que realize tais operacoes seja credenciado perante a Secretaria da Fazenda conforme disciplina por ela estabelecida.;
SP054111;SIM;;;;;;;;;;SIM;SIM;;;;;Artigo 411-A do RICMS;Diferimento - Saida interna de oleo lubrificante basico decorrente do re-refino do oleo lubrificante usado ou contaminado, processado de acordo com a legislacao em vigor por empresas devidamente autorizadas pelo orgao federal competente, quando destinado ;
SP054112;SIM;;;;;;;;;;SIM;SIM;;;;;Artigo 411-B do RICMS;Diferimento - Saida interna de lubrificantes derivados de petroleo classificados nos codigos 2710.19.31 e 2710.19.32 da NCM, de aditivos classificados no codigo 3811 da NCM e de material de embalagem, quando destinados a fabricante localizado neste Estado;
SP054113;SIM;;;;;;;;;SIM;;;;;;;Artigo 411-C do RICMS;Suspensao - Desembaraco aduaneiro, que ocorra em territorio paulista, de lubrificantes derivados do petroleo classificados nos codigos 2710.19.31 e 2710.19.32 da NCM, de aditivos classificados no codigo 3811 da NCM e de material de embalagem, quando a imp;
